model,condition,seed,f1,precision,recall,bal_acc,fpr,fnr,tn,fp,fn,tp,n_test,infer_sec,flows_sec
RandomForestClassifier,SD_unsw,42,0.9963,0.9938,0.9988,0.9963,0.0063,0.0012,14906,94,18,14982,30000,0.0578,519362
RandomForestClassifier,SD_cic,42,0.9747,0.9923,0.9576,0.9751,0.0074,0.0424,14889,111,636,14364,30000,0.0613,489590
RandomForestClassifier,CD_unsw2cic,42,0.6891,0.6313,0.7585,0.6578,0.443,0.2415,27852,22148,12077,37923,100000,0.092,1086708
RandomForestClassifier,CD_cic2unsw,42,0.0232,0.9484,0.0118,0.5056,0.0006,0.9882,49968,32,49412,588,100000,0.1106,903972
RandomForestClassifier,SD_unsw,43,0.9971,0.9949,0.9993,0.9971,0.0051,0.0007,14923,77,11,14989,30000,0.0581,516198
RandomForestClassifier,SD_cic,43,0.9763,0.9923,0.9609,0.9767,0.0075,0.0391,14888,112,587,14413,30000,0.0592,506752
RandomForestClassifier,CD_unsw2cic,43,0.7587,0.6932,0.838,0.7335,0.371,0.162,31451,18549,8098,41902,100000,0.1003,997392
RandomForestClassifier,CD_cic2unsw,43,0.022,0.9282,0.0111,0.5051,0.0009,0.9889,49957,43,49444,556,100000,0.1152,868098
RandomForestClassifier,SD_unsw,44,0.9966,0.9941,0.9991,0.9966,0.0059,0.0009,14911,89,14,14986,30000,0.0476,630037
RandomForestClassifier,SD_cic,44,0.9758,0.993,0.9591,0.9762,0.0067,0.0409,14899,101,614,14386,30000,0.0613,489335
RandomForestClassifier,CD_unsw2cic,44,0.7185,0.6318,0.8327,0.6738,0.4852,0.1673,25742,24258,8367,41633,100000,0.0878,1139558
RandomForestClassifier,CD_cic2unsw,44,0.0201,0.9426,0.0102,0.5048,0.0006,0.9898,49969,31,49491,509,100000,0.1059,944584
RandomForestClassifier,SD_unsw,45,0.9957,0.9927,0.9988,0.9957,0.0073,0.0012,14890,110,18,14982,30000,0.048,625411
RandomForestClassifier,SD_cic,45,0.976,0.9924,0.9602,0.9764,0.0073,0.0398,14890,110,597,14403,30000,0.0594,504881
RandomForestClassifier,CD_unsw2cic,45,0.5662,0.5546,0.5783,0.5569,0.4645,0.4217,26775,23225,21085,28915,100000,0.1077,928580
RandomForestClassifier,CD_cic2unsw,45,0.0378,0.9452,0.0193,0.5091,0.0011,0.9807,49944,56,49035,965,100000,0.1178,848607
