model,condition,seed,f1,precision,recall,bal_acc,fpr,fnr,tn,fp,fn,tp,n_test,infer_sec,flows_sec
XGBClassifier,SD_unsw,42,0.9966,0.9944,0.9989,0.9966,0.0057,0.0011,14915,85,16,14984,30000,0.0131,2298668
XGBClassifier,SD_cic,42,0.9764,0.9979,0.9557,0.9769,0.002,0.0443,14970,30,664,14336,30000,0.0128,2351155
XGBClassifier,CD_unsw2cic,42,0.8116,0.7601,0.8707,0.7979,0.2748,0.1293,36259,13741,6467,43533,100000,0.0348,2876613
XGBClassifier,CD_cic2unsw,42,0.073,0.5727,0.039,0.505,0.0291,0.961,48545,1455,48050,1950,100000,0.0346,2893880
XGBClassifier,SD_unsw,43,0.9971,0.9953,0.9989,0.9971,0.0047,0.0011,14929,71,17,14983,30000,0.0127,2353926
XGBClassifier,SD_cic,43,0.9783,0.9981,0.9593,0.9787,0.0019,0.0407,14972,28,610,14390,30000,0.0127,2353970
XGBClassifier,CD_unsw2cic,43,0.8116,0.7601,0.8707,0.7979,0.2748,0.1293,36259,13741,6467,43533,100000,0.0348,2871355
XGBClassifier,CD_cic2unsw,43,0.073,0.5727,0.039,0.505,0.0291,0.961,48545,1455,48050,1950,100000,0.0341,2931275
XGBClassifier,SD_unsw,44,0.9965,0.9942,0.9988,0.9965,0.0058,0.0012,14913,87,18,14982,30000,0.013,2301443
XGBClassifier,SD_cic,44,0.9777,0.9989,0.9575,0.9782,0.0011,0.0425,14984,16,638,14362,30000,0.0129,2326764
XGBClassifier,CD_unsw2cic,44,0.8116,0.7601,0.8707,0.7979,0.2748,0.1293,36259,13741,6467,43533,100000,0.035,2860955
XGBClassifier,CD_cic2unsw,44,0.073,0.5727,0.039,0.505,0.0291,0.961,48545,1455,48050,1950,100000,0.0359,2786339
XGBClassifier,SD_unsw,45,0.996,0.9933,0.9987,0.996,0.0067,0.0013,14899,101,19,14981,30000,0.0127,2359797
XGBClassifier,SD_cic,45,0.9779,0.9981,0.9584,0.9783,0.0018,0.0416,14973,27,624,14376,30000,0.0127,2360727
XGBClassifier,CD_unsw2cic,45,0.8116,0.7601,0.8707,0.7979,0.2748,0.1293,36259,13741,6467,43533,100000,0.0349,2864766
XGBClassifier,CD_cic2unsw,45,0.073,0.5727,0.039,0.505,0.0291,0.961,48545,1455,48050,1950,100000,0.0343,2911902
