model,epsilon,f1,precision,recall,bal_acc,fpr,fnr,tp,fp,tn,fn
XGBoost,0.0,0.9966,0.9944,0.9989,0.9966,0.0057,0.0011,14984,85,14915,16
XGBoost,0.05,0.9718,0.9941,0.9505,0.9724,0.0057,0.0495,14257,85,14915,743
XGBoost,0.1,0.9702,0.9941,0.9475,0.9709,0.0057,0.0525,14212,85,14915,788
XGBoost,0.15,0.6917,0.9895,0.5317,0.763,0.0057,0.4683,7975,85,14915,7025
XGBoost,0.2,0.6191,0.9876,0.4509,0.7226,0.0057,0.5491,6763,85,14915,8237
XGBoost,0.3,0.7408,0.9905,0.5917,0.793,0.0057,0.4083,8875,85,14915,6125
XGBoost,0.4,0.8202,0.992,0.6991,0.8467,0.0057,0.3009,10487,85,14915,4513
XGBoost,0.5,0.772,0.9911,0.6322,0.8133,0.0057,0.3678,9483,85,14915,5517
XGBoost,0.7,0.6552,0.9886,0.4899,0.7421,0.0057,0.5101,7349,85,14915,7651
XGBoost,1.0,0.0,0.0,0.0,0.4972,0.0057,1.0,0,85,14915,15000
RoBERTa-LoRA,0.0,0.9938,0.9919,0.9957,0.9938,0.0081,0.0043,14936,122,14878,64
RoBERTa-LoRA,0.05,0.9703,0.9915,0.9499,0.9709,0.0081,0.0501,14249,122,14878,751
RoBERTa-LoRA,0.1,0.9797,0.9917,0.968,0.9799,0.0081,0.032,14520,122,14878,480
RoBERTa-LoRA,0.15,0.9552,0.9913,0.9217,0.9568,0.0081,0.0783,13825,122,14878,1175
RoBERTa-LoRA,0.2,0.9675,0.9915,0.9447,0.9683,0.0081,0.0553,14171,122,14878,829
RoBERTa-LoRA,0.3,0.9553,0.9913,0.9218,0.9568,0.0081,0.0782,13827,122,14878,1173
RoBERTa-LoRA,0.4,0.8884,0.99,0.8057,0.8988,0.0081,0.1943,12085,122,14878,2915
RoBERTa-LoRA,0.5,0.9448,0.9911,0.9027,0.9473,0.0081,0.0973,13540,122,14878,1460
RoBERTa-LoRA,0.7,0.9247,0.9907,0.8669,0.9294,0.0081,0.1331,13004,122,14878,1996
RoBERTa-LoRA,1.0,0.9959,0.9919,1.0,0.9959,0.0081,0.0,15000,122,14878,0
